T,K(cr),K(L),KOH(a),KOH(b),KOH(L),K2O2(s),K2O(s),KO2(s),H2O(s),H2O(L),Electron,H,H+,H-,HO2,H2,H2+,H2-,H2O,H2O+,H2O2,H3O+,K,K+,KH,KO,KO-,KOH,KOH+,K2,K2O2H2,O,O+,O-,OH,OH+,OH-,O2,O2+,O2-,O3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0,0,0,0,0,0,0,0,0,0,5.77E-29,7.00E-21,1.96E-129,2.15E-42,2.08E-75,1,8.52E-127,4.34E-54,2.00E-13,1.99E-111,5.02E-63,5.90E-75,1.00E-13,5.77E-29,9.55E-19,9.77E-49,5.90E-57,1.64E-20,1.24E-66,8.75E-25,3.78E-28,3.08E-59,5.90E-168,1.84E-73,1.38E-39,7.45E-141,1.42E-50,6.95E-72,8.01E-165,4.27E-96,6.95E-126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,0,0,0,0,0,0,0,0,0,0,3.21E-25,4.65E-17,2.58E-106,2.72E-36,1.03E-66,1,2.00E-104,2.49E-46,2.00E-13,8.85E-94,6.03E-57,4.96E-64,1.00E-13,3.21E-25,3.64E-18,8.62E-45,5.35E-53,7.40E-22,6.51E-59,9.60E-26,3.41E-34,1.28E-50,5.10E-140,9.34E-64,1.19E-34,8.56E-118,3.68E-45,2.23E-63,1.44E-139,9.23E-85,1.16E-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,0,0,0,0,0,0,0,0,0,0,1.56E-22,2.54E-14,8.85E-90,6.14E-32,1.73E-60,1,1.97E-88,8.49E-41,2.00E-13,3.69E-81,1.37E-52,3.19E-56,1.00E-13,1.56E-22,9.47E-18,5.84E-42,3.59E-50,8.33E-23,2.26E-53,1.97E-26,1.71E-38,1.91E-44,4.93E-120,8.07E-57,4.10E-31,2.67E-101,2.68E-41,2.80E-57,1.71E-121,1.19E-76,9.49E-100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,0,0,0,0,0,0,0,0,0,0,1.66E-20,2.92E-12,2.31E-77,1.12E-28,8.31E-56,1,2.01E-76,1.18E-36,2.00E-13,1.10E-71,2.58E-49,2.32E-50,1.00E-13,1.66E-20,1.94E-17,7.89E-40,4.71E-48,1.65E-23,3.39E-49,5.95E-27,1.05E-41,8.38E-40,5.05E-105,1.29E-51,1.87E-28,6.51E-89,2.09E-38,1.09E-52,6.52E-108,1.46E-70,1.54E-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,0,0,0,0,0,0,0,0,0,0,6.35E-19,1.18E-10,1.08E-67,3.83E-26,3.71E-52,1,4.48E-67,1.95E-33,2.00E-13,2.63E-64,9.28E-47,8.49E-46,1.00E-13,6.35E-19,3.39E-17,3.64E-38,2.08E-46,4.77E-24,6.19E-46,2.33E-27,3.43E-44,3.49E-36,2.48E-93,1.45E-47,2.21E-26,2.89E-79,3.70E-36,4.15E-49,2.48E-97,8.04E-66,3.90E-85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0,0,0,0,0,0,0,0,0,0,1.19E-17,2.28E-09,5.99E-60,4.04E-24,3.13E-49,0.999999999,1.38E-59,7.29E-31,2.00E-13,2.13E-58,1.04E-44,3.85E-42,9.99E-14,1.19E-17,5.31E-17,7.86E-37,4.29E-45,1.79E-24,2.58E-43,1.10E-27,3.59E-46,2.78E-33,5.74E-84,2.51E-44,1.01E-24,1.54E-71,2.30E-34,3.10E-46,7.48E-89,5.03E-62,5.36E-80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,0,0,0,0,0,0,0,0,0,0,1.32E-16,2.60E-08,1.32E-53,1.82E-22,7.85E-47,0.999999987,1.87E-53,9.20E-29,2.00E-13,1.47E-53,5.03E-43,3.81E-39,9.98E-14,1.32E-16,7.66E-17,9.77E-36,5.08E-44,8.04E-25,3.66E-41,5.87E-28,8.77E-48,6.66E-31,2.70E-76,1.12E-41,2.32E-23,3.29E-65,6.72E-33,7.04E-44,6.64E-82,6.44E-59,8.78E-76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,0,0,0,0,0,0,0,0,2.27E-14,0,9.89E-16,1.99E-07,2.61E-48,4.31E-21,6.22E-45,0.999999901,2.45E-48,5.15E-27,1.77E-13,1.43E-49,1.01E-41,1.07E-36,9.89E-14,9.89E-16,1.03E-16,7.06E-35,3.47E-43,3.67E-25,2.04E-39,3.41E-28,3.12E-49,5.72E-29,6.05E-70,1.60E-39,2.81E-22,5.59E-60,9.81E-32,5.14E-42,3.29E-76,1.97E-56,2.03E-72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,0,0,0,0,0,0,0,0,2.00E-13,0,5.37E-15,1.11E-06,8.14E-44,6.12E-20,9.55E-62,0.999999443,5.39E-44,1.51E-25,9.84E-23,2.14E-55,4.83E-59,8.02E-44,9.45E-14,5.37E-15,1.28E-16,2.23E-43,1.02E-51,1.12E-34,3.75E-47,1.98E-28,6.57E-69,1.53E-36,9.07E-74,6.40E-47,1.43E-30,9.44E-65,5.69E-40,7.39E-59,8.48E-90,9.22E-73,3.34E-97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,0,0,0,0,0,0,0,0,2.00E-13,0,2.14E-14,4.90E-06,6.30E-40,5.51E-19,1.15E-85,0.999997552,3.10E-40,2.55E-24,2.02E-35,4.15E-65,2.15E-83,1.19E-54,7.85E-14,2.14E-14,1.33E-16,1.76E-55,6.98E-64,1.20E-47,1.45E-58,9.23E-29,2.09E-95,8.75E-48,9.19E-82,4.76E-58,1.97E-42,1.47E-73,8.06E-52,8.44E-83,6.45E-111,2.68E-96,1.05E-132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,0,0,0,0,0,0,0,0,2.00E-13,0,5.72E-14,1.77E-05,1.86E-36,2.96E-18,3.74E-118,0.99999114,7.06E-37,2.34E-23,2.68E-52,2.62E-79,2.95E-116,8.15E-70,4.27E-14,5.72E-14,8.84E-17,4.83E-72,1.34E-80,5.79E-65,1.98E-74,1.94E-29,1.63E-130,2.09E-63,1.80E-94,1.13E-73,1.36E-58,5.64E-87,4.55E-68,2.61E-115,7.02E-141,1.48E-128,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,9.80E-14,0,0,0,0,0,0,0,2.00E-13,0,2.04E-15,5.47E-05,1.36E-31,1.92E-19,0,0.999972636,4.11E-32,2.45E-24,3.35E-74,4.84E-97,0,2.15E-88,5.67E-18,2.04E-15,1.39E-20,2.57E-97,7.84E-108,6.78E-91,2.89E-97,2.51E-37,0,3.27E-84,6.70E-111,2.66E-96,7.19E-80,5.05E-104,3.02E-91,5.02E-158,1.53E-179,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,1.00E-13,0,0,0,0,0,0,0,2.00E-13,0,1.81E-17,0.00014832,1.60E-26,2.88E-21,0,0.99992584,3.96E-27,5.57E-26,4.77E-102,1.97E-120,0,1.57E-112,6.01E-23,1.81E-17,1.72E-25,1.09E-129,1.03E-142,7.52E-124,1.04E-126,2.14E-47,0,4.34E-111,3.88E-133,1.44E-125,3.66E-107,8.31E-127,5.35E-121,9.31E-213,6.41E-230,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,1.00E-13,0,0,0,0,0,0,0,2.00E-13,0,5.36E-20,0.000360416,2.62E-21,1.35E-23,0,0.999819792,5.44E-22,3.79E-28,7.76E-137,1.50E-150,0,2.59E-143,8.31E-29,5.04E-20,2.72E-31,0,0,0,1.19E-163,3.17E-59,0,0,3.12E-162,0,0,2.19E-156,0,1.77E-281,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,1.00E-13,0,0,0,0,0,0,0,2.00E-13,0,2.06E-19,0.000798795,1.75E-19,7.77E-23,0,0.999600603,3.09E-20,3.04E-27,0,5.03E-192,0,2.23E-185,1.28E-35,1.01E-26,4.73E-38,0,0,0,8.56E-213,5.98E-73,0,0,8.69E-203,0,0,2.23E-197,0,2.17E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1.00E-13,0,0,0,0,0,0,0,2.00E-13,0,2.48E-18,0.001636947,2.15E-18,1.34E-21,0,0.999181527,3.30E-19,7.09E-26,0,2.32E-243,0,3.01E-237,1.88E-43,5.27E-35,7.76E-46,0,0,0,9.81E-273,1.04E-88,0,0,2.69E-253,0,0,2.80E-248,0,2.17E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,2.37E-17,0.003136293,2.09E-17,1.76E-20,0,0.998431853,2.81E-18,1.22E-24,0,0,0,0,2.25E-52,2.48E-44,1.02E-54,0,0,0,0,1.23E-106,0,0,0,0,0,0,0,2.18E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,1.85E-16,0.005669248,1.65E-16,1.83E-19,0,0.997165376,1.98E-17,1.62E-23,0,0,0,0,1.87E-62,8.81E-55,9.32E-65,0,0,0,0,7.07E-127,0,0,0,0,0,0,0,2.18E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,1.21E-15,0.009741419,1.10E-15,1.55E-18,0,0.99512929,1.18E-16,1.72E-22,0,0,0,0,9.22E-74,2.01E-66,4.98E-76,0,0,0,0,1.45E-149,0,0,0,0,0,0,0,2.18E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,6.83E-15,0.016011278,6.24E-15,1.10E-17,0,0.991994361,6.06E-16,1.49E-21,0,0,0,0,2.29E-86,2.46E-79,1.33E-88,0,0,0,0,7.60E-175,0,0,0,0,0,0,0,2.19E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,3.36E-14,0.025305758,3.09E-14,6.62E-17,0,0.987347121,2.74E-15,1.09E-20,0,0,0,0,2.46E-100,1.38E-93,1.52E-102,0,0,0,0,7.45E-203,0,0,0,0,0,0,0,2.20E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,1.47E-13,0.038630339,1.36E-13,3.48E-16,0,0.98068483,1.10E-14,6.77E-20,0,0,0,0,9.62E-116,2.98E-109,6.33E-118,0,0,0,0,9.86E-234,0,0,0,0,0,0,0,2.21E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,5.77E-13,0.057171923,5.38E-13,1.61E-15,0,0.971414039,4.00E-14,3.66E-19,0,0,0,0,1.18E-132,2.11E-126,8.14E-135,0,0,0,0,1.27E-267,0,0,0,0,0,0,0,2.23E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,2.06E-12,0.08229207,1.94E-12,6.66E-15,0,0.958853965,1.33E-13,1.74E-18,0,0,0,0,3.81E-151,4.12E-145,2.75E-153,0,0,0,0,2.26E-300,0,0,0,0,0,0,0,2.26E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,6.78E-12,0.1155064,6.40E-12,2.49E-14,0,0.9422468,4.04E-13,7.37E-18,0,0,0,0,2.79E-171,1.89E-165,2.09E-173,0,0,0,0,2.30E-300,0,0,0,0,0,0,0,2.30E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,2.07E-11,0.158442991,1.96E-11,8.47E-14,0,0.920778504,1.14E-12,2.81E-17,0,0,0,0,3.92E-193,1.72E-187,3.01E-195,0,0,0,0,2.34E-300,0,0,0,0,0,0,0,2.34E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,5.89E-11,0.212768383,5.62E-11,2.65E-13,0,0.893615808,3.01E-12,9.67E-17,0,0,0,0,9.00E-217,2.65E-211,7.04E-219,0,0,0,0,2.40E-300,0,0,0,0,0,0,0,2.40E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,1.58E-10,0.280064943,1.51E-10,7.67E-13,0,0.859967528,7.43E-12,3.04E-16,0,0,0,0,2.87E-242,5.84E-237,2.26E-244,0,0,0,0,2.48E-300,0,0,0,0,0,0,0,2.48E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,3.99E-10,0.361640661,3.84E-10,2.06E-12,0,0.819179669,1.73E-11,8.76E-16,0,0,0,0,1.08E-269,1.56E-264,8.50E-272,0,0,0,0,2.56E-300,0,0,0,0,0,0,0,2.56E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,9.60E-10,0.458257163,9.27E-10,5.18E-12,0,0.770871418,3.79E-11,2.32E-15,0,0,0,0,4.08E-299,4.31E-294,2.67E-300,0,0,0,0,2.67E-300,0,0,0,0,0,0,0,2.67E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,2.20E-09,0.569782909,2.13E-09,1.22E-11,0,0.715108544,7.86E-11,5.67E-15,0,0,0,0,2.79E-300,2.79E-300,2.79E-300,0,0,0,0,2.79E-300,0,0,0,0,0,0,0,2.79E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,4.81E-09,0.694824429,4.68E-09,2.70E-11,0,0.652587783,1.55E-10,1.28E-14,0,0,0,0,2.93E-300,2.93E-300,2.93E-300,0,0,0,0,2.93E-300,0,0,0,0,0,0,0,2.93E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3700,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,1.01E-08,0.830455157,9.83E-09,5.61E-11,0,0.584772416,2.89E-10,2.70E-14,0,0,0,0,3.07E-300,3.07E-300,3.07E-300,0,0,0,0,3.07E-300,0,0,0,0,0,0,0,3.07E-300,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,1.00E-13,0,0,0,0,0,0,0,0,2.00E-13,2.02E-08,0.972214975,1.98E-08,1.10E-10,0,0.513892502,5.14E-10,5.27E-14,0,0,0,0,3.23E-300,3.23E-300,3.23E-300,0,0,0,0,3.23E-300,0,0,0,0,0,0,0,3.23E-300,0,0,0
