T,K(cr),K(L),KOH(a),KOH(b),KOH(L),K2O2(s),K2O(s),KO2(s),H2O(s),H2O(L),Electron,H,H+,H-,HO2,H2,H2+,H2-,H2O,H2O+,H2O2,H3O+,K,K+,KH,KO,KO-,KOH,KOH+,K2,K2O2H2,O,O+,O-,OH,OH+,OH-,O2,O2+,O2-,O3
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7724809555739446e-30,7.0029477125981585e-22,1.9613482018342026e-131,2.1504175267530685e-42,2.0816389528422884e-76,0.9999999999997998,8.519426256164748e-128,4.336847910781555e-53,1.9999983601407591e-13,1.9904490396599073e-112,5.024891118753164e-63,5.904075498351716e-75,9.999028993392313e-14,5.77248095559057e-30,9.545905251339911e-18,9.767696012592396e-49,5.898326832584666e-56,1.6397835599114759e-19,1.235278893346262e-66,8.74507527665153e-23,3.784018307082372e-24,3.0775079133869597e-61,5.896743159368727e-171,1.8423802355219477e-74,1.3757395512076482e-40,7.454492982063222e-143,1.4231573931368172e-50,6.954062340123718e-74,8.011790162847128e-168,4.265153675002091e-97,6.951375700480175e-128
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.208117474267896e-26,4.651889642293737e-18,2.5834779990038882e-108,2.7214923159684966e-36,1.028332656299796e-67,0.9999999999998,2.0022203628896455e-105,2.488819096218708e-45,1.9999999260296234e-13,8.852031752111875e-95,6.03498747495015e-57,4.960891753491555e-64,9.996356866674544e-14,3.208117474540047e-26,3.642391699155136e-17,8.618668075289741e-45,5.351136403537569e-52,7.397037685243567e-21,6.505556224367848e-59,9.59663792022423e-24,3.411572693626985e-30,1.2791556380898724e-52,5.099710219437361e-143,9.335572463694974e-65,1.1909669826422661e-35,8.557273955106991e-120,3.675520944676831e-45,2.2319682469592407e-65,1.443271820999369e-142,9.227098305164888e-86,1.164735217396252e-112
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5634032499079744e-23,2.544289677115224e-15,8.851150122622882e-92,6.14043121232606e-32,1.7307370512758887e-61,0.9999999999997986,1.9758151987942436e-89,8.486282125062555e-40,1.999999991674547e-13,3.687720626908244e-82,1.366873120243174e-52,3.1898675872263513e-56,9.990536171124803e-14,1.5634032560484054e-23,9.463743664679839e-17,5.830606627344994e-42,3.582759443094337e-49,8.325452999887537e-22,2.2629166955688e-53,1.9629015722600527e-24,1.7048925308054777e-34,1.9089295984468954e-46,4.928989307277608e-123,8.064818209188971e-58,4.096664181201009e-32,2.671019257030031e-103,2.676356089975883e-41,2.8002773011916486e-59,1.713671358422184e-124,1.1854613282420888e-77,9.4868666414517e-102
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6578428600838181e-21,2.9156566380991745e-13,2.3102592356116793e-79,1.1197260956959685e-28,8.310653489214693e-57,0.999999999999654,2.010399666860056e-77,1.18058554094737e-35,1.9999999983492492e-13,1.10189342866395e-72,2.5815445629624913e-49,2.3193933656830075e-50,9.980632178602144e-14,1.6578429720564396e-21,1.9367638987520776e-16,7.878304806174342e-40,4.6954514600649565e-47,1.6507505931893996e-22,3.3846733883931884e-49,5.926606681961318e-25,1.0458819237394495e-37,8.381045348257879e-42,5.050840965001699e-108,1.2916460590506073e-52,1.8675375924763774e-29,6.516058991247937e-91,2.0922239276216748e-38,1.0882328966148943e-54,6.52611951847454e-111,1.4564219802731408e-71,1.5364687373498964e-93
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.343412038794434e-20,1.1766872431125474e-11,1.0792420865978021e-69,3.8196057594429264e-26,3.7108698139011273e-53,0.9999999999939165,4.489130090179622e-68,1.951321456637354e-32,1.9999999995242455e-13,2.6316271730745984e-65,9.283917245654791e-47,8.505001993498193e-46,9.966172404384608e-14,6.343415858402146e-20,3.3821247395824885e-16,3.6240617795616275e-38,2.0720206632052672e-45,4.757332938754702e-23,6.175940571596179e-46,2.318804305689219e-25,3.4060529564299636e-40,3.48972336257242e-38,2.4802283336213824e-96,1.4456072385428925e-48,2.2061318075659416e-27,2.890922945439421e-81,3.69246497921769e-36,4.1461996570455056e-51,2.488104836957401e-100,8.025390791727102e-67,3.898599724375121e-87
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.186928689242114e-18,2.2844403523982724e-10,6.001710817592418e-62,4.031924122918108e-24,3.1325069326466896e-50,0.9999999998855776,1.3782575643137558e-60,7.270820286170723e-30,1.9999999998212995e-13,2.1351999891467695e-59,1.0434791320152638e-44,3.8550777627389166e-42,9.947023514207721e-14,1.1869327211735078e-18,5.285779072152756e-16,7.821430236293874e-37,4.263991233347839e-44,1.7768998037774165e-23,2.5733763707043383e-43,1.0867704712558154e-25,3.56008646267334e-42,2.784407186719991e-35,5.752662015901382e-87,2.507888050831526e-45,1.0105918278570588e-25,1.5431132171660944e-73,2.2985187165835135e-34,3.095388498917339e-48,7.497364647577996e-92,5.017654377012901e-63,5.356039076906799e-82
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3181997470264366e-17,2.6025259803239595e-09,1.3275829965661279e-55,1.8140838756072257e-22,7.854663511772503e-48,0.9999999986985366,1.870947614375816e-54,9.17753215254379e-28,1.999999999896801e-13,1.4784969026251026e-54,5.02504329541401e-43,3.8208319369009604e-39,9.92248410775948e-14,1.3182178879569689e-17,7.619767354107054e-16,9.714876995967238e-36,5.033842395834903e-43,7.99889629252074e-24,3.6515689434265653e-41,5.801229910677863e-26,8.668043859997472e-44,6.664016421917236e-33,2.7053052009233344e-79,1.119820311014809e-42,2.321022137221039e-24,3.299974892730225e-67,6.703611650226574e-33,7.038124808524153e-46,6.65479135267857e-85,6.426556594144902e-60,8.776666914311357e-78
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981918013790354e-13,0.0,9.886743584924878e-17,1.9864449871091948e-08,2.6122477785668296e-50,4.305119299931588e-21,6.46550046125168e-50,0.9999999900675742,2.4469824113568074e-49,5.144785357264879e-26,1.808198620640342e-15,1.4603285493559666e-52,1.0459594350997758e-45,1.0949750825620212e-38,9.886807797301282e-14,9.887174101999656e-17,1.0330502858616032e-15,7.193731464023874e-37,3.536306477409469e-44,3.7372188220910543e-26,2.0829374285379567e-41,3.4065939749848705e-26,3.2422015070470956e-49,5.8342059218517976e-33,6.165915445260965e-75,1.631628306191981e-42,2.8687008407888155e-25,5.7044630113011476e-64,1.0005781869703398e-33,5.3491518540851845e-48,3.422758956717331e-83,2.0441045366932355e-61,2.147107882753685e-80
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99999999998998e-13,0.0,5.469956071871571e-16,1.1135742840400027e-07,7.993814761063705e-46,6.237341193382539e-20,9.89792760407167e-67,0.9999999443210851,5.2942992989664995e-45,1.5428505765595823e-24,1.0020143520124584e-24,2.1374020695319688e-58,5.004482795520886e-63,8.012882246965087e-46,9.812122425289839e-14,5.470579821419416e-16,1.3317177649168946e-15,2.3605121560707224e-45,1.098392203188154e-52,1.1852952953567486e-35,3.8915274197857754e-49,2.1382177288937633e-26,7.346092213148646e-69,1.5588194263916459e-40,9.067426771448361e-79,6.639550729157155e-50,1.4570504397952149e-33,9.43502556621238e-69,5.899717720033589e-42,7.663418580135583e-65,8.627532112749118e-97,9.741466459732654e-78,3.5229407496692906e-105
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0,2.368153904812123e-15,4.89617208613025e-07,5.69456694645299e-42,6.098953394997346e-19,1.1919672076917697e-90,0.9999997551911948,2.799921035523788e-41,2.815119003320729e-23,2.053863847337991e-37,3.811089792436036e-68,2.2249752095250853e-87,1.095910552894097e-56,9.599956353299549e-14,2.3687638283028127e-15,1.6316726386740328e-15,2.19429390471478e-57,9.599604539977247e-65,1.488920741658698e-48,1.6323667977128782e-60,1.382569359783784e-26,3.237882720933871e-95,8.89843175065833e-52,8.445239691364837e-87,5.35688368287879e-61,1.998391260746909e-45,1.3475138143871883e-77,9.061079834686008e-54,8.725351246731578e-89,6.027600741487128e-118,3.0645853469973574e-101,1.1074991851659953e-140
1500,9.833910033353026e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998e-13,0.0,8.017016214102169e-16,1.7719067306135839e-06,1.326822105607047e-37,4.145091930120025e-19,3.861092201040508e-123,0.9999991140464346,5.037064500599955e-37,3.286299392775996e-23,2.725476868505908e-54,1.8997777677073794e-81,3.0403500971548178e-120,5.903006360804667e-71,8.41391243502716e-16,8.021161634662231e-16,1.739225950079556e-17,9.661532540355578e-76,3.763853530254143e-84,1.1582316362822621e-67,2.827488062908346e-77,7.514876953540172e-31,6.502336168858095e-134,2.1183240718948502e-67,1.3021994038856505e-98,1.6168475205106228e-77,1.37899471859813e-61,4.083996969069946e-90,6.478406204064225e-71,2.6934876360626416e-121,5.162095731740765e-147,2.1455349307912797e-134,0.0
1600,9.997920055608827e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0,2.0719781600593896e-17,5.472754551883541e-06,1.336003314607457e-32,1.9553487343896028e-20,0.0,0.9999972636225243,4.0437185535478306e-32,2.4895039276876687e-24,3.4041178081228614e-76,4.828794064155194e-99,0.0,2.1421423712151037e-89,5.866626547532019e-20,2.0739337577441663e-17,1.4400687922430154e-21,2.701049750224046e-101,8.365204916642413e-112,7.112644927792108e-94,2.981336701145867e-100,2.684133950470751e-39,0.0,3.318330182524928e-88,6.6851876881732365e-115,2.743025742084602e-100,7.295193617476328e-83,5.043283832034514e-107,3.1104750181156785e-94,5.166420503076109e-164,1.544759008667597e-185,0.0,0.0
1700,9.99998162248144e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0,1.8348217515420433e-19,1.4831993966461774e-05,1.5739888525751955e-27,2.923207224963931e-22,0.0,0.999992584002817,3.900464379753092e-27,5.654800881822572e-26,4.83633754867633e-104,1.9680656886319483e-122,0.0,1.568113258052911e-113,6.209141046656658e-25,1.8377454695025633e-19,1.7746492007097015e-26,1.1379163551787116e-133,0.0,7.874638173111105e-127,1.0684989276208614e-129,2.2782780383535115e-49,0.0,4.401433243425972e-115,3.8724932520672235e-137,1.4818951946210138e-129,3.706667869405592e-110,8.300141458532189e-130,5.5072341392366765e-124,9.568675914055824e-219,6.488812711554265e-236,0.0,0.0
1800,9.999999966955933e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0,8.417535346693712e-22,3.60415819656166e-05,1.6699730049167523e-22,2.122148852548748e-24,0.0,0.9999819792088172,3.4643832457622446e-22,5.9562241162727655e-28,7.855849327996207e-139,9.64772358859967e-153,0.0,1.671817648229829e-144,8.560504662214545e-31,3.3044065407643165e-22,2.802337841630409e-32,0.0,0.0,0.0,7.923050886345493e-167,3.366857540228672e-61,0.0,0.0,2.0124362494971245e-166,0.0,0.0,1.4080647765208478e-159,0.0,1.8143475039804278e-287,0.0,0.0,0.0
1900,9.999999999999997e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0,9.964470431428696e-21,7.98795042755647e-05,3.611306261225638e-21,3.7655127630628396e-23,0.0,0.9999600602476622,6.3908340263298645e-21,1.4749929155864843e-26,0.0,1.0506358446741007e-194,0.0,4.651865343872904e-187,1.316540473846607e-37,2.1432974960395723e-29,4.8680671705487397e-39,0.0,0.0,0.0,1.8395093318844442e-216,6.326671725266852e-75,0.0,0.0,1.814497981077632e-207,0.0,0.0,4.659024647875331e-201,0.0,2.1718250200780596e-300,0.0,0.0,0.0
2000,1.0000000000000002e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0,1.1593056761950476e-19,0.0001636947526909575,4.5996151407477405e-20,6.272372629511362e-22,0.0,0.9999181526234545,7.056198523868939e-20,3.317637108815765e-25,0.0,5.012083873028168e-246,0.0,6.502583728097247e-239,1.9309690446859884e-45,1.156185916223362e-37,7.969722481091169e-47,0.0,0.0,0.0,2.1762869768208616e-276,1.1013540341518858e-90,0.0,0.0,5.807671602426529e-258,0.0,0.0,6.045319269088415e-252,0.0,2.1719160324698336e-300,0.0,0.0,0.0
2100,1e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,1.0734707229591645e-18,0.00031362969604094423,4.605201428204017e-19,7.996515723654451e-21,0.0,0.9998431851517796,6.209526476300025e-19,5.551767585499828e-24,0.0,0.0,0.0,0.0,2.3063346062393243e-54,5.589686859816409e-47,1.0516995204285012e-55,0.0,0.0,0.0,0.0,1.2916307864479316e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1720788421979293e-300,0.0,0.0,0.0
2200,1e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998e-13,8.157576163698572e-18,0.0005669270543551331,3.74578735899697e-18,8.089946074527873e-20,0.0,0.9997165364726224,4.492760206632774e-18,7.194118588905515e-23,0.0,0.0,0.0,0.0,1.913617514721038e-64,2.039592286018593e-57,9.55564198880885e-66,0.0,0.0,0.0,0.0,7.410275485705895e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1723538899827418e-300,0.0,0.0,0.0
2300,1e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998e-13,5.218448751406971e-17,0.0009741533762365116,2.5434056307461122e-17,6.692005362103283e-19,0.0,0.9995129233116817,2.742037789734381e-17,7.461545248852953e-22,0.0,0.0,0.0,0.0,9.402065150730831e-76,4.73711644896829e-69,5.101167043175902e-77,0.0,0.0,0.0,0.0,1.5084722706514692e-151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1727960844789515e-300,0.0,0.0,0.0
2400,1e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998e-13,2.870395841957295e-16,0.0016011785605623855,1.474710741799777e-16,4.640511580417571e-18,0.0,0.9991994107195186,1.442153888885339e-16,6.367292364427105e-21,0.0,0.0,0.0,0.0,2.3303075375385172e-88,5.91317473406492e-82,1.364252692616626e-89,0.0,0.0,0.0,0.0,7.8952814752917096e-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1734769517770505e-300,0.0,0.0,0.0
2500,1e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998e-13,1.382028318742283e-15,0.0025307764006930844,7.441852873495064e-16,2.7547456947096088e-17,0.0,0.9987346117994527,6.65436240491668e-16,4.5752151795410016e-20,0.0,0.0,0.0,0.0,2.480849541242313e-102,3.3526290554963222e-96,1.557506075320998e-103,0.0,0.0,0.0,0.0,7.693434967471005e-205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1744863733849086e-300,0.0,0.0,0.0
2600,1e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998e-13,5.913506660472109e-15,0.00386374749855359,3.3214643375106087e-15,1.425001797804956e-16,0.0,0.9980681262505186,2.7348248003350407e-15,2.8229759304617314e-19,0.0,0.0,0.0,0.0,9.65581447199687e-118,7.302212708919739e-112,6.464584282757619e-119,0.0,0.0,0.0,0.0,1.0100085687040359e-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175933805565526e-300,0.0,0.0,0.0
2700,1e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998e-13,2.2779552693117662e-14,0.005719506239765256,1.329250262604106e-14,6.521417661678085e-16,0.0,0.9971402468799005,1.0140712685392264e-14,1.5208521478660493e-18,0.0,0.0,0.0,0.0,1.1690761172858319e-134,5.17056389500298e-129,8.30437033454955e-136,0.0,0.0,0.0,0.0,1.2920916467597714e-269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1779489167152315e-300,0.0,0.0,0.0
2800,1e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998e-13,7.988173176534131e-14,0.008236112070570836,4.826315766508214e-14,2.6748536862341995e-15,0.0,0.9958819439644551,3.430068478471612e-14,7.256998222745385e-18,0.0,0.0,0.0,0.0,3.7455078340093464e-153,1.0077749334702929e-147,2.8096530455828656e-154,0.0,0.0,0.0,0.0,2.1806816213263597e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1806816213263597e-300,0.0,0.0,0.0
