"P, BAR","T, K","RHO, KG/CU M","H, KJ/KG","U, KJ/KG","S, KJ/(KG)(K)","M, (1/n)",(dLV/dLP)t,(dLV/dLT)p,"Cp, KJ/(KG)(K)",GAMMAs,"SON VEL,M/SEC",e-,H,H+,H2
0.001,500,4.8491-5,2918.03,855.77,100.7872,2.016,-1,1,14.5115,1.3971,1697.4,0,0,0,1
0.001,600,4.0409-5,4370.62,1895.92,103.4353,2.016,-1,1,14.5436,1.3959,1858.6,0,0,0,1
0.001,700,3.4636-5,5827.85,2940.7,105.6815,2.016,-1,1,14.6061,1.3935,2005.8,0,0,0,1
0.001,800,3.0307-5,7292.84,3993.23,107.6376,2.016,-1,1,14.6979,1.3901,2141.7,0,0,0,1
0.001,900,2.6939-5,8768.4,5056.35,109.3754,2.016,-1,1,14.8188,1.3857,2268,0,0,0,1
0.001,1000,2.4245-5,10258.1,6133.55,110.9447,2.016,-1,1,14.9842,1.3798,2385.6,0,0,0,1
0.001,1100,2.2041-5,11765.1,7228.17,112.381,2.016,-1,1,15.1634,1.3736,2496.4,0,0,0,1
0.001,1200,2.0204-5,13291.6,8342.22,113.7091,2.016,-1,1,15.3699,1.3668,2600.9,0,0,0,1
0.001,1300,1.8650-5,14843.2,9481.29,114.951,2.016,-1.00001,1.0004,15.649,1.3582,2698.7,0,0.00004,0,0.99996
0.001,1400,1.7317-5,16426.2,10651.5,116.1239,2.016,-1.00004,1.0015,16.0436,1.3474,2789.4,0,0.00015,0,0.99985
0.001,1500,1.6159-5,18062.9,11874.4,117.2528,2.015,-1.00014,1.005,16.7734,1.3303,2869.3,0,0.00056,0,0.99944
0.001,1600,1.5140-5,19806.3,13201.4,118.3774,2.014,-1.00043,1.0146,18.2771,1.3022,2932.7,0,0.00172,0,0.99828
0.001,1700,1.4229-5,21770.3,14742.3,119.5672,2.011,-1.00116,1.0372,21.3589,1.2611,2977.1,0,0.00466,0,0.99534
0.001,1800,1.3394-5,24173.9,16707.7,120.9394,2.005,-1.00282,1.0852,27.337,1.2134,3009.9,0,0.01128,0,0.98872
0.001,1900,1.2602-5,27399.1,19464.1,122.6806,1.991,-1.0062,1.1779,38.182,1.1704,3047.4,0,0.02482,0,0.97518
0.001,2000,1.1818-5,32062.2,23600.8,125.0684,1.965,-1.01254,1.3423,56.6105,1.1391,3104.6,0,0.0502,0,0.9498
0.001,2100,1.1003-5,39087.7,29999.4,128.4903,1.921,-1.02343,1.6099,86.0479,1.1197,3190,0,0.09394,0,0.90606
0.001,2200,1.0121-5,49763.3,39883.2,133.4487,1.851,-1.04048,2.0073,130.1967,1.1093,3310.5,0,0.1632,0,0.8368
0.001,2300,9.1544-6,65702,54778.4,140.5236,1.751,-1.06428,2.5322,191.4188,1.1047,3473.9,0,0.26315,0,0.73685
0.001,2400,8.1187-6,88516.4,76199.3,150.222,1.62,-1.09231,3.1115,266.2487,1.1041,3687.8,0,0.39268,0,0.60732
0.001,2500,7.0792-6,118845.3,104719.4,162.5929,1.471,-1.11654,3.5625,337.1947,1.1064,3953.3,0,0.5401,0,0.4599
0.001,2600,6.1371-6,154673.1,138378.7,176.6408,1.327,-1.12481,3.642,369.806,1.1111,4254.9,0,0.68376,0,0.31624
0.001,2700,5.3805-6,190573.6,171988.1,190.1935,1.208,-1.11073,3.2598,337.211,1.1188,4560,0,0.80163,0,0.19837
0.001,2800,4.8329-6,220480.2,199788.8,201.0788,1.125,-1.08246,2.6245,256.616,1.1311,4837.8,0,0.88373,0,0.11627
0.001,2900,4.4555-6,241800.3,219355.9,208.5689,1.074,-1.05414,2.0309,172.259,1.151,5082.6,0,0.93416,0,0.06584
0.001,3000,4.1907-6,255701.3,231838.9,213.2876,1.045,-1.03319,1.6115,110.0891,1.1827,5312.4,0,0.96293,0,0.03707
0.001,3500,3.4735-6,281013.6,252223.9,221.2406,1.011,-1.00282,1.0447,26.447,1.5075,6587.8,0,0.99716,0,0.00284
0.001,4000,3.0318-6,292445.1,259462,224.3005,1.008,-1.00039,1.0055,21.2592,1.644,7363.8,0,0.9996,0,0.00039
0.001,4500,2.6941-6,302918.7,265800.6,226.7682,1.008,-1.00009,1.0013,20.8236,1.6586,7846.3,0.00002,0.99988,0.00002,0.00008
0.001,5000,2.4243-6,313385.6,272137.1,228.9735,1.008,-1.00008,1.0021,21.1643,1.643,8232.3,0.00011,0.99976,0.00011,0.00002
0.001,5500,2.2030-6,324272.8,278880.5,231.0477,1.007,-1.00026,1.008,22.6819,1.5859,8484.7,0.00051,0.99897,0.00051,0.00001
0.001,6000,2.0167-6,336538.6,286952,233.1795,1.006,-1.00094,1.027,27.0774,1.4727,8545.5,0.00187,0.99625,0.00187,0
0.001,6500,1.8545-6,352353.7,298429.7,235.7057,1.002,-1.00283,1.0759,37.578,1.3382,8494.6,0.00567,0.98867,0.00567,0
0.001,7000,1.7064-6,375990.9,317389,239.1992,0.993,-1.00733,1.1835,59.3973,1.2347,8506.2,0.01466,0.97069,0.01466,0
0.001,7500,1.5627-6,414834.5,350841.4,244.5432,0.974,-1.01659,1.3905,99.7772,1.1747,8670.4,0.03322,0.93357,0.03322,0
0.001,8000,1.4139-6,480331.9,409605.7,252.9739,0.94,-1.0333,1.74,167.5184,1.1448,8998.2,0.06694,0.86613,0.06694,0
0.001,8500,1.2540-6,588194.2,508451.9,266.0208,0.886,-1.05922,2.2474,269.9731,1.1316,9499.3,0.12071,0.75858,0.12071,0
0.001,9000,1.0846-6,755527.2,663327.1,285.1135,0.812,-1.09169,2.8369,402.6101,1.1275,10195.9,0.19478,0.61043,0.19478,0
0.001,9500,9.1825-7,989647.8,880744.9,310.3994,0.725,-1.11891,3.2725,526.5155,1.129,11088.3,0.28041,0.43918,0.28041,0
0.001,10000,7.7500-7,1267171,1138139,338.8615,0.644,-1.12294,3.2473,562.3423,1.1351,12102.3,0.3607,0.2786,0.3607,0
0.001,10500,6.6867-7,1529861,1380312,364.5134,0.584,-1.09932,2.741,470.2604,1.1471,13097.5,0.42083,0.15834,0.42083,0
0.001,11000,5.9747-7,1727956,1560582,382.9712,0.546,-1.06564,2.1057,321.4473,1.1685,13985.1,0.45786,0.08427,0.45786,0
0.001,11500,5.5029-7,1856339,1674616,394.405,0.526,-1.03863,1.6265,200.1112,1.2052,14799.3,0.47798,0.04405,0.47798,0
