"P, BAR","T, K","RHO, KG/CU M","H, KJ/KG","U, KJ/KG","S, KJ/(KG)(K)","M, (1/n)",(dLV/dLP)t,(dLV/dLT)p,"Cp, KJ/(KG)(K)",GAMMAs,"SON VEL,M/SEC",e-,H,H+,H2
1,500,4.8491-2,2918.03,855.77,72.2961,2.016,-1,1,14.5115,1.3971,1697.4,0,0,0,1
1,600,4.0409-2,4370.62,1895.92,74.9443,2.016,-1,1,14.5436,1.3959,1858.6,0,0,0,1
1,700,3.4636-2,5827.85,2940.7,77.1904,2.016,-1,1,14.6061,1.3935,2005.8,0,0,0,1
1,800,3.0307-2,7292.84,3993.23,79.1465,2.016,-1,1,14.6979,1.3901,2141.7,0,0,0,1
1,900,2.6939-2,8768.4,5056.35,80.8843,2.016,-1,1,14.8188,1.3857,2268,0,0,0,1
1,1000,2.4245-2,10258.1,6133.55,82.4537,2.016,-1,1,14.9842,1.3798,2385.6,0,0,0,1
1,1100,2.2041-2,11765.1,7228.16,83.8899,2.016,-1,1,15.1633,1.3736,2496.4,0,0,0,1
1,1200,2.0204-2,13291.6,8342.2,85.218,2.016,-1,1,15.3694,1.3668,2600.9,0,0,0,1
1,1300,1.8650-2,14839.4,9477.54,86.4568,2.016,-1,1,15.5876,1.3598,2700.2,0,0,0,1
1,1400,1.7318-2,16409.6,10635.3,87.6204,2.016,-1,1,15.8148,1.3529,2795,0,0,0,1
1,1500,1.6163-2,18002.7,11815.9,88.7194,2.016,-1,1.0002,16.0487,1.346,2885.8,0,0.00002,0,0.99998
1,1600,1.5153-2,19620,13020.6,89.763,2.016,-1.00001,1.0005,16.3015,1.3391,2972.8,0,0.00005,0,0.99995
1,1700,1.4261-2,21264.4,14252.2,90.7599,2.016,-1.00004,1.0012,16.5969,1.3317,3055.8,0,0.00015,0,0.99985
1,1800,1.3467-2,22942.1,15516.7,91.7187,2.016,-1.00009,1.0027,16.9757,1.3232,3134.5,0,0.00036,0,0.99964
1,1900,1.2756-2,24664.4,16824.7,92.6498,2.015,-1.0002,1.0057,17.5001,1.3128,3208.1,0,0.00079,0,0.99921
1,2000,1.2113-2,26449.8,18194.1,93.5654,2.014,-1.00041,1.0111,18.2567,1.3,3276,0,0.00163,0,0.99837
1,2100,1.1527-2,28327.2,19652.2,94.4812,2.013,-1.00078,1.0203,19.3587,1.2843,3337.8,0,0.00312,0,0.99688
1,2200,1.0990-2,30337.7,21238.2,95.4162,2.01,-1.00141,1.035,20.946,1.266,3394.1,0,0.00563,0,0.99437
1,2300,1.0491-2,32538,23005.7,96.3939,2.006,-1.00241,1.0575,23.1829,1.2461,3446.5,0,0.00965,0,0.99035
1,2400,1.0022-2,35002.1,25024.5,97.4422,2,-1.00395,1.0904,26.2548,1.226,3497.5,0,0.01581,0,0.98419
1,2500,9.5775-3,37823.5,27382.4,98.5933,1.991,-1.00622,1.1367,30.3627,1.207,3550,0,0.02487,0,0.97513
1,2600,9.1493-3,41116.2,30186.4,99.884,1.978,-1.00943,1.1995,35.7158,1.1904,3607,0,0.03772,0,0.96228
1,2700,8.7314-3,45015.1,33562.2,101.3549,1.96,-1.01382,1.282,42.5227,1.1767,3671,0,0.05532,0,0.94468
1,2800,8.3185-3,49675.7,37654.2,103.0487,1.937,-1.01963,1.3868,50.9776,1.166,3743.9,0,0.07867,0,0.92133
1,2900,7.9061-3,55271.1,42622.6,105.0112,1.906,-1.02708,1.5157,61.2422,1.1581,3827.3,0,0.10869,0,0.89131
1,3000,7.4912-3,61987.9,48638.9,107.2871,1.869,-1.03631,1.669,73.4155,1.1528,3922.8,0,0.14614,0,0.85386
1,3100,7.0724-3,70017.7,55878.2,109.9188,1.823,-1.04733,1.8447,87.4891,1.1495,4031.6,0,0.19145,0,0.80855
1,3200,6.6500-3,79543.2,64505.7,112.9417,1.769,-1.05996,2.0377,103.2807,1.1481,4155,0,0.2446,0,0.7554
1,3300,6.2267-3,90716.7,74656.8,116.3786,1.708,-1.07378,2.2392,120.3474,1.1481,4293.9,0,0.30499,0,0.69501
1,3400,5.8069-3,103629,86408.1,120.232,1.642,-1.08801,2.436,137.8892,1.1494,4448.9,0,0.37137,0,0.62863
1,3500,5.3969-3,118270,99741,124.475,1.571,-1.10157,2.6111,154.6808,1.1518,4619.6,0,0.44182,0,0.55818
1,4000,3.7328-3,206206.8,179417.5,147.9297,1.241,-1.11734,2.6337,172.4921,1.1792,5620.5,0,0.76831,0,0.23169
1,4500,2.8875-3,272069.9,237437.8,163.5449,1.08,-1.05805,1.72,89.246,1.2454,6567.5,0,0.92814,0,0.07186
1,5000,2.4803-3,302879.9,262562.6,170.0804,1.031,-1.02149,1.2402,42.2622,1.3736,7441.7,0,0.97698,0,0.02301
1,5500,2.2230-3,319657.6,274673.1,173.2893,1.017,-1.00837,1.0852,27.7515,1.5122,8247.9,0.00002,0.99139,0.00002,0.00858
1,6000,2.0278-3,332246.9,282933,175.4828,1.012,-1.0037,1.0351,23.4471,1.592,8860.4,0.00006,0.99617,0.00006,0.00371
1,6500,1.8681-3,343595.4,290064.6,177.3001,1.01,-1.0019,1.018,22.2492,1.6173,9304.5,0.00018,0.99782,0.00018,0.00182
1,7000,1.7327-3,354708.3,296995,178.9472,1.008,-1.00122,1.0137,22.3659,1.6067,9629.6,0.00047,0.99807,0.00047,0.00099
1,7500,1.6155-3,366112.8,304213.9,180.5204,1.007,-1.00112,1.0171,23.4055,1.5715,9862.7,0.00109,0.99725,0.00109,0.00058
1,8000,1.5124-3,378282.5,312164.3,182.0905,1.006,-1.0015,1.0278,25.4631,1.5183,10019.2,0.00227,0.9951,0.00227,0.00036
1,8500,1.4203-3,391793.7,321386.8,183.7277,1.004,-1.00242,1.0475,28.8304,1.4553,10122.4,0.00436,0.99103,0.00436,0.00024
1,9000,1.3367-3,407395.7,332581.8,185.5099,1,-1.00408,1.0794,33.8959,1.3921,10205.2,0.00782,0.98419,0.00782,0.00016
1,9500,1.2594-3,426045.4,346640.8,187.5249,0.995,-1.00672,1.1268,41.0965,1.3361,10300,0.0132,0.97348,0.0132,0.00011
1,10000,1.1867-3,448923.7,364658.9,189.8697,0.987,-1.01066,1.1937,50.8861,1.2908,10429.3,0.02115,0.95762,0.02115,0.00008
1,10500,1.1173-3,477436.4,387932.8,192.6495,0.975,-1.01622,1.2835,63.7035,1.2566,10605.3,0.03234,0.93524,0.03234,0.00006
1,11000,1.0498-3,513196.6,417942.4,195.9737,0.96,-1.02372,1.3989,79.9337,1.232,10832.8,0.04745,0.90504,0.04745,0.00004
1,11500,9.8354-4,557985.2,456311.5,199.9523,0.94,-1.03338,1.5409,99.8481,1.2149,11114,0.06702,0.86592,0.06702,0
1,12000,9.1794-4,613671.2,504731.3,204.6886,0.916,-1.04526,1.7079,123.5094,1.2036,11450.6,0.09138,0.8172,0.09138,0
1,12500,8.5294-4,682073.2,564831.1,210.2695,0.886,-1.05917,1.8943,150.6237,1.1966,11844.3,0.12054,0.75889,0.12054,0
1,13000,7.8886-4,764732.4,637966.9,216.7496,0.853,-1.07451,2.0899,180.3363,1.1928,12296.8,0.15407,0.69183,0.15407,0
1,13500,7.2641-4,862578.8,724915.5,224.1332,0.815,-1.09022,2.2792,211.002,1.1916,12808,0.19107,0.61783,0.19107,0.00001
1,14000,6.6659-4,975465.8,825447.6,232.3391,0.776,-1.10483,2.4421,240.0294,1.1925,13375.2,0.2302,0.53958,0.2302,0.00001
1,14500,6.1051-4,1101763,937965.9,241.2005,0.736,-1.1165,2.557,264.0074,1.1951,13991.3,0.26977,0.46044,0.26977,0
1,15000,5.5925-4,1238020,1059207,250.4376,0.697,-1.12351,2.6055,279.2918,1.1994,14644.6,0.30802,0.38394,0.30802,0
1,15500,5.1357-4,1379128,1184412,259.6911,0.662,-1.12475,2.5787,283.0837,1.2053,15319.7,0.34336,0.31328,0.34336,0
1,16000,4.7385-4,1519037,1307999,268.5757,0.63,-1.12011,2.4812,274.5673,1.213,15999.9,0.3746,0.25079,0.3746,0
1,16500,4.3999-4,1651909,1424629,276.7546,0.604,-1.11059,2.33,255.4022,1.2228,16671,0.40114,0.1977,0.40115,0
1,17000,4.1151-4,1773255,1530246,284.0016,0.582,-1.09789,2.1492,229.1489,1.235,17323.6,0.42293,0.15413,0.42293,0
1,17500,3.8770-4,1880574,1622643,290.2255,0.564,-1.08389,1.9621,199.9644,1.2498,17954.5,0.44033,0.11935,0.44033,0.00001
1,18000,3.6777-4,1973324,1701417,295.4531,0.55,-1.07014,1.7864,171.3659,1.2677,18566,0.45392,0.09215,0.45392,0.00001
1,18500,3.5096-4,2052422,1767491,299.7891,0.54,-1.05762,1.632,145.6169,1.2888,19163,0.46441,0.07118,0.46441,0
1,19000,3.3661-4,2119592,1822514,303.3731,0.532,-1.04681,1.5025,123.745,1.3131,19750.9,0.47242,0.05515,0.47242,0
1,19500,3.2418-4,2176839,1868372,306.3481,0.526,-1.03778,1.3973,105.889,1.3403,20333.2,0.47853,0.04294,0.47853,0
1,20000,3.1326-4,2226092,1906868,308.8428,0.521,-1.03042,1.3135,91.6891,1.3697,20910.6,0.48318,0.03363,0.48318,0
